species,family,leaf_phenology,p50,n_p50,rd_max,n_rd
Populus alba,Salicaceae,d,-1.52,(1),2.5,(1)
Populus angustifolia,Salicaceae,d,-1.6,(1),1.4,(3)
Populus balsamifera,Salicaceae,d,-1.7329216666666667,(6),1.25,(3)
Populus deltoides,Salicaceae,d,-1.5296275,(8),3.8,(9)
Populus euphratica,Salicaceae,d,-0.7,(1),22.15,(5)
Populus fremontii,Salicaceae,d,-1.57,(1),1.4,(3)
Populus grandidentata,Salicaceae,d,-1.52,(1),1.2,(1)
Populus nigra,Salicaceae,d,-2.11,(9),5.35,(3)
Populus tremula,Salicaceae,d,-2.4971428571428573,(14),2.6,(4)
Populus tremuloides,Salicaceae,d,-2.3579063636363635,(11),2.9,(13)
Populus trichocarpa,Salicaceae,d,-1.305293846153846,(13),1.25,(2)
Protea repens,Proteaceae,e,-3.81447,(1),3,(3)
Prunus armeniaca,Rosaceae,d,-5.99253,(4),3.6,(5)
Prunus avium,Rosaceae,d,-4.76499,(3),1.9,(3)
Prunus dulcis,Rosaceae,d,-6.1305375,(4),4.7,(1)
Prunus mahaleb,Rosaceae,d,-5.55659,(3),13,(1)
Prunus padus,Rosaceae,d,-3.5426266666666666,(3),2.1,(3)
Prunus persica,Rosaceae,d,-4.442964285714286,(7),4.9,(1)
Prunus spinosa,Rosaceae,d,-5.361956666666667,(3),2.38,(3)
Pseudotsuga menziesii,Pinaceae,e,-3.145909090909091,(22),2.4,(18)
Psychotria horizontalis,Rubiaceae,e,-4.9,(1),0.33,(4)
Quercus agrifolia,Fagaceae,e,-3.14,(2),10.7,(4)
Quercus coccifera,Fagaceae,e,-6.98,(2),4.6,(1)
Quercus douglasii,Fagaceae,d,-4.571666666666666,(9),24.38,(4)
Quercus ilex,Fagaceae,e,-4.092028291851852,(27),12,(6)
Quercus kelloggii,Fagaceae,d,-4.73,(1),12.83,(2)
Quercus lobata,Fagaceae,d,-3.58,(1),7.41,(1)
Quercus petraea,Fagaceae,d,-4.269,(10),2.27,(10)
Quercus pubescens,Fagaceae,d,-3.3699999999999997,(3),1.62,(4)
Quercus robur,Fagaceae,d,-3.568888888888889,(9),9,(24)
Quercus rubra,Fagaceae,d,-3.1399999999999997,(10),3.6,(6)
Quercus suber,Fagaceae,e,-4.545,(6),6.5,(3)
Quercus wislizeni,Fagaceae,e,-4.1,(1),20.72,(5)
Rhododendron ferrugineum,Ericaceae,e,-3.01,(1),0.3,(1)
Rhododendron hirsutum,Ericaceae,e,-3.23,(1),0.9285,(1)
Rhus trilobata,Anacardiaceae,d,-2.95,(1),2.44,(3)
Robinia pseudoacacia,Fabaceae,d,-2.9511,(10),8.53,(10)
Rosmarinus officinalis,Lamiaceae,e,-9.3533333333333335,(3),0.35,(1)
Salix alba,Salicaceae,d,-1.5,(2),4.27,(7)
Salix caprea,Salicaceae,d,-2.22,(1),2.49,(2)
