Species,Dr,EU_soil_texture
Halothamnus subaphyllus,2.61,F
Haloxylon aphyllum,2.15,F
Kochia prostrata,0.47,F
Krascheninnikovia ewersmanniana,2.06,F
Petrosimonia brachiata,0.39,F
Populus pruinosa,3.74,F
Suaeda microphylla,2.86,F
Bouteloua aristidoides,0.3,C
Digitaria californica,0.61,C
Eucalyptus calophylla,36.5,C
Eucalyptus diversicolor,18,C
Arbutus unedo,3.5,C
Erica arborea,2,C
Quercus ilex,3.7,C
Stipagrostis amabilis,5,C
Ambrosia deltoidea,1.8,F
Argythamnia humilis,0.23,M
Astragalus nuttallianus,0.13,F
Cereus giganteus,0.77,C
Dichelostemma capitatum,0.1,F
Encelia farinosa,0.55,F
Ferocactus wislizeni,0.25,F
Fouquieria splendens,0.375,F
Kallstroemia grandiflora,0.22,F
Larrea tridentata,1.7,C
Opuntia fulgida,0.35,F
Opuntia leptocaulis,0.15,F
Psilostrophe cooperi,1.44,C
Tidestromia lanuginosa,0.23,F
Trianthema portulacastrum,0.16,M
Ziziphus parryi,1.36,F
Prosopis velutina,8,C
Ambrosia dumosa,0.5,C
Fouquieria splendens,0.375,M
Opuntia arbuscula,0.25,M
Opuntia engelmannii,0.25,M
Opuntia versicolor,0.3,M
Opuntia x vivipara,0.25,M
Ambrosia dumosa,1.8,C
Quercus douglasii,3.66,M
Quercus agrifolia,10.7,M
Geranium solanderi,0.13,C
Sclerostegia tenuis,0.15,C
Zygophyllum crenatum,0.14,C
Crassula lycopodioides,0.1,C
Galenia africana,3,C
Salsola aphylla,0.45,C
Tylecodon wallichii,0.15,C
Juniperus monosperma,61,F
Eucalyptus marginata,18.75,C
Tripsacum dactyloides,1.8,M
Acamptopappus sphaerocephalus,0.98,C
Echinocereus engelmannii,0.16,C
Ericameria cooperi,1.03,C
Ericameria cooperi,1.35,C
Eriogonum fasciculatum,1.05,C
Gutierrezia microcephala,0.62,C
Hymenoclea salsola,1.95,C
Menodora spinescens,1.25,C
Opuntia ramosissima,1.3,C
Pleuraphis rigida,0.36,C
Salazaria mexicana,0.9,C
Salvia dorrii,1.08,C
Senna armata,1.75,C
Thamnosma montana,1.26,C
Yucca schidigera,0.55,C
Alloteropsis semialata,0.91,C
Aristida congesta,0.61,C
Cynodon dactylon,1.52,C
Digitaria eriantha,1.22,C
Digitaria tricholaenoides,0.92,C
Elionurus muticus,0.76,C
Eragrostis calchantha,0.36,C
Eragrostis nebulosa,1.24,C
Heteropogon contortus,0.8,C
Hyparrhenia hirta,1.52,C
Kohautia amatymbica,0.73,C
Monocymbium ceresiiforme,0.61,C
Paspalum dilatatum,1.07,C
Setaria flabellata,1.68,C
Trachypogon spicatus,0.9,C
Tristachya hispida,0.78,C
Eragrostis chloromelas,1.25,C
Amaranthus retroflexus,1.22,M
Ambrosia artemisiifolia,1.22,M
Chenopodium album,1.19,M
Medicago lupulina,0.48,M
Physalis virginiana,0.76,M
Plantago major,0.33,M
Solanum rostratum,1.52,M
Sonchus asper,0.69,M
Verbena urticifolia,0.66,M
Bouteloua gracilis,0.76,M
Bouteloua gracilis,0.91,C
Bouteloua hirsuta,0.76,C
Echinocactus horizonthalonius,0.3,M
Flourensia cernua,0.66,F
Gutierrezia microcephala,0.76,F
Juniperus monosperma,1.07,C
Nolina texana,0.99,M
Opuntia imbricata,1.02,C
Pleuraphis mutica,1.52,F
Scleropogon brevifolius,0.91,M
Yucca elata,0.76,M
Acacia tortilis,1.52,C
Antennaria microphylla,0.6,M
Artemisia cana,2.4,M
Artemisia frigida,0.84,M
Artemisia frigida,1.65,M
Aster ericoides,1.1,M
Astragalus agrestis,0.63,M
Atriplex nuttallii,1.8,M
Bouteloua gracilis,0.79,M
Bouteloua gracilis,0.86,C
Calamagrostis montanensis,1.1,M
Calamovilfa longifolia,1.8,C
Campanula rotundifolia,1.5,M
Carex duriuscula,0.68,M
Carex filifolia,0.75,M
Elymus lanceolatus,1.52,M
Elymus trachycaulus ssp. subsecundus,0.97,M
Equisetum arvense,3,M
Festuca scabrella,1.07,M
Gaillardia aristata,1.39,M
Galium boreale,1.5,M
Gutierrezia sarothrae,1.04,M
Helictotrichon hookeri,0.9,M
Hesperostipa comata,0.61,M
