Species,Dr,EU_soil_texture
Euphorbia mauretanica,1.08,F
Euphorbia mauretanica,1.28,F
Ruschia multiflora,3.03,F
Ruschia multiflora,4.37,F
Crotalaria burhia,2.5,C
Oligochaeta ramosa,0.25,C
Aerva javanica,2,C
Arnebia hispidissima,0.35,C
Boerhavia diffusa,1.2,C
Capparis decidua,3.3,C
Convolvulus prostratus,2.5,C
Fagonia cretica,0.75,C
Ipomoea pes-tigrides,0.2,C
Merremia aegyptia,0.16,C
Polycarpaea corymbosa,0.25,C
Pulicaria crispa,0.7,C
Sida grewioides,0.6,C
Solanum surattense,0.8,C
Tribulus terrestris,1.1,C
Ziziphus nummularia,3,C
Quercus calliprinos,4.6,F
Astragalus danicus,0.34,M
Bromus riparius,0.75,M
Fragaria viridis,0.32,M
Galium verum,0.7,M
Helictotrichon desertorum,1,M
Pimpinella saxifraga,1.6,M
Potentilla longipes,0.29,M
Thymus pannonicus,0.75,M
Trifolium montanum,0.75,M
Veronica austriaca,0.62,M
Veronica spuria,1.22,M
Vicia cracca,0.36,M
Agropyron pectinatum,1.7,M
Alopecurus pratensis,0.8,M
Artemisia austriaca,1.05,M
Artemisia austriaca,1.08,M
Artemisia taurica,1.32,M
Bassia sedoides,1.04,M
Carduus uncinatus,1.8,M
Carex stenophylla,0.42,M
Cerastium ucrainicum,0.07,M
Ceratocarpus arenarius,1.17,M
Crambe tataria,2,F
Elytrigia pseudocaesia,2,M
Erophila verna,0.06,M
Eryngium campestre,2.25,M
Euphorbia seguierana,1.08,M
Euphorbia seguierana,2.6,M
Falcaria vulgaris,1.8,M
Festuca rupicola,0.15,M
Festuca rupicola,0.62,M
Festuca rupicola,0.96,M
Festuca rupicola,1.2,M
Gagea pusilla,0.13,M
Galatella villosa,1.05,M
Goniolimon tataricum,1.3,M
Kochia prostrata,1.4,M
Kochia prostrata,1.48,M
Koeleria macrantha,0.78,M
Leymus ramosus,1.1,M
Leymus ramosus,1.67,M
Limonium latifolium,2,F
Linaria biebersteinii,1.4,M
Linum austriacum,0.45,F
Myosotis micrantha,0.1,M
Onosma tinctoria,1.55,M
Poa bulbosa,0.38,M
Poa bulbosa,0.4,M
Polygonum novoascanicum,0.32,M
Psammophiliella stepposa,0.18,M
Ranunculus oxyspermus,0.15,M
Salvia aethiopis,0.48,M
Salvia nemorosa,2,F
Statice sareptana,2,M
Stipa capillata,1.68,M
Stipa lessingiana,1.1,M
Stipa ucrainica,1.75,M
Tanacetum millefolium,0.95,M
Tanacetum millefolium,1.58,M
Trifolium arvense,0.44,M
Trinia hispida,0.38,M
Trinia hispida,0.83,F
Valerianella carinata,0.14,M
Veronica verna,0.08,M
Genista tinctoria,0.72,C
Nardus stricta,0.93,C
Agropyron desertorum,0.67,
Allium caesium,0.09,
Alyssum linifolium,0.16,
Alyssum turkestanicum var. desertorum,0.12,
Anabasis salsa,0.76,
Artemisia pauciflora ssp. maikara,0.58,
Artemisia semiarida,1.05,
Seriphidium sublessingianum,2.25,
Caragana balchaschensis,0.74,
Ceratocarpus arenarius,0.38,
Ephedra distachya,1.51,
Ferula ferulaeoides,0.75,
Geranium transversale,0.2,
Hulthemia berberifolia,2,
Lepidium obtusum,0.59,
Linosyris glabrata,0.79,
Pyrethrum achilleifolium,0.55,
Ranunculus platyspermus,0.05,
Rochelia disperma,0.19,
Salsola laricifolia,0.97,
Salsola tamariscina,0.26,
Stipa lessingiana,0.6,
Allium caesium,0.08,
Anabasis salsa,0.23,
Anabasis salsa,0.36,
Anabasis salsa,0.39,
Anabasis salsa,0.56,
Artemisia pauciflora ssp. maikara,0.45,
Artemisia semiarida,0.37,
Artemisia semiarida,0.49,
Artemisia semiarida,0.59,
Artemisia semiarida,0.61,
Artemisia semiarida,0.72,
Seriphidium sublessingianum,0.47,
Ceratocarpus arenarius,0.23,
Ceratocarpus arenarius,0.35,
Ceratocarpus arenarius,0.4,
Ferula ferulaeoides,0.38,
Ferula ferulaeoides,0.69,
Ferula ferulaeoides,0.75,
Salsola laricifolia,0.42,
Salsola laricifolia,0.84,
Salsola tamariscina,0.25,
Chrysopogon fulvus,0.45,M
Chrysopogon fulvus,0.75,M
Chrysopogon fulvus,0.83,M
Dichanthium annulatum,0.69,M
Dichanthium annulatum,0.9,M
Dichanthium annulatum,0.98,M
Heteropogon contortus,0.74,M
Heteropogon contortus,1.36,M
Heteropogon contortus,1.41,M
Iseilema laxum,0.7,M
Iseilema laxum,0.87,M
Iseilema laxum,1.05,M
Sehima nervosum,0.67,M
Sehima nervosum,1.11,M
Sehima nervosum,1.49,M
Prosopis glandulosa var. torreyana,6,C
Dactyloctenium aegyptiacum,0.1,M
Dactyloctenium aegyptiacum,0.15,M
Dactyloctenium aegyptiacum,0.25,M
Prosopis cineraria,0.94,C
Aerva javanica,1.28,C
Aerva javanica,2.53,C
Calligonum polygonoides,0.83,C
Calligonum polygonoides,1.36,C
Calotropis procera,1.66,C
Calotropis procera,3.04,C
Cenchrus biflorus,0.27,C
Cenchrus biflorus,0.45,C
Tephrosia purpurea,0.54,C
Tephrosia purpurea,1.36,C
Eleusine indica,0.17,M
Sporobolus pyramidalis,0.1,M
Acer platanoides,3,
Alnus incana,4.75,
Betula verrucosa,6.1,
Caragana arborescens,1.65,
Fraxinus excelsior,0.75,
Populus nigra,5.35,
Quercus robur,2.82,
Robinia pseudoacacia,4.25,
Salix daphnoides,1.5,
Pinus sylvestris,2.25,
Larix sibirica,2.25,
Prosopis glandulosa,3,C
Prosopis glandulosa,4.5,C
Prosopis glandulosa,7.5,C
Prosopis glandulosa,15,F
Larrea tridentata,,
Albizia lebbeck,1.05,C
Dalbergia sissoo,2.1,C
Prosopis cineraria,2.04,C
Astragalus filicaulis,0.42,M
Onobrychis pulchella,1.38,C
Isatis boissierana,0.5,
Trigonella grandiflora,0.8,
Cenchrus ciliaris var. Biloela,2,
Panicum maximum,1.93,
Adesmia volckmanni,0.47,C
Mulinum spinosum,0.58,C
Senecio filaginoides,0.53,C
Acacia seyal,6,C
Sclerocarya birrea,2.4,C
Adenanthos terminalis,0.57,C
Allocasuarina muelleriana,2.03,C
Allocasuarina pusilla,2.61,C
Amphipogon caricinus,0.07,C
Astroloma conostephioides,0.22,C
Austrostipa semibarbata,0.25,C
Banksia marginata,2.66,C
Banksia ornata,2.72,C
Boronia coerulescens,0.24,C
Calytrix alpestris,0.69,C
Correa rubra,0.66,C
Cryptandra tomentosa,0.38,C
Daviesia brevifolia,2.09,C
Dillwynia hispida,0.31,C
Drosera whittakeri,0.04,C
Euphrasia collina,0.28,C
Glischrocaryon behrii,2.01,C
Gompholobium minus,0.33,C
Goodenia geniculata,0.09,C
Hibbertia sericea,0.49,C
Hibbertia stricta,0.72,C
Hypolaena fastigiata,0.25,C
Lepidobolus drapetocoleus,0.26,C
Lepidosperma carphoides,0.28,C
Lepidosperma laterale,0.22,C
Leptospermum myrsinoides,2.27,C
Leucopogon costatus,0.28,C
Leucopogon woodsii,0.31,C
Lomandra glauca,0.15,C
Lomandra juncea,0.19,C
Lomandra leucocephala,0.14,C
Lyperanthus nigricans,0.02,C
Olearia ciliata,0.23,C
Phyllota pleurandroides,2.23,C
Phyllota remota,2.57,C
Pimelea octophylla,0.22,C
Schoenus tepperi,0.21,C
Spyridium subochreatum,1.85,C
Thysanotus dichotomus,0.21,C
Xanthorrhoea australis,2.61,C
Achillea millefolium,1.7,C
Achnatherum lettermanii -Vasey- Barkworth,0.8,C
Balsamorhiza sagittata,2.7,C
Bromus tectorum,0.3,C
Carex geyeri,1.6,C
Eriogonum heracleoides,2.35,C
Festuca idahoensis,0.4,C
Hieracium scouleri,1.9,C
Lactuca serriola,0.8,C
Lithospermum ruderale,3,C
Penstemon glaber,1.6,C
Phlox longifolia,0.75,C
Poa secunda,0.45,F
Potentilla gracilis var. fastigiata,0.75,C
Pseudoroegneria spicata ssp. inermis,1.05,C
Vicia americana,1.4,C
Echinacea pallida,1.33,M
Euphorbia corollata,1.5,M
Parthenium integrifolium,1.8,M
Ratibida pinnata,1.45,M
Ruellia caroliniensis ssp.ciliosa,1.49,M
Dalea purpurea,1.3,M
Liatris scariosa,0.93,M
Oligoneuron rigidum,1.4,M
Pycnanthemum flexuosum,1.17,M
Sisyrinchium albidum,0.15,M
Ambrosia psilostachya,1,C
Andropogon gerardi,1.08,M
Aster oblongifolius var. rigidulus,0.7,M
Dalea purpurea,1.75,M
Opuntia humifusa,0.13,M
Rosa carolina,0.8,M
Schizachyrium scoparium,1.12,M
Andropogon gerardi,1.18,M
Carex albicans,0.83,M
Hesperostipa spartea,1.01,M
Oligoneuron rigidum,1.02,M
Ruellia caroliniensis ssp.ciliosa,1.1,M
Silphium integrifolium Michx.,1.7,M
Silphium laciniatum,1.79,M
Tradescantia ohiensis,1.56,M
Andropogon gerardi,1.77,F
Spartina pectinata,1.58,F
Acer negundo,3.3,C
Acer saccharinum,3.3,M
Carya cordiformis,3,C
Carya ovata,2.2,C
Catalpa speciosa,3.1,C
Celtis occidentalis,2.5,C
Fraxinus americana,1.8,C
Fraxinus pennsylvanica,2.7,C
Gleditsia triacanthos,3,M
Juglans nigra,3.3,M
Maclura pomifera,2.4,M
Populus deltoides,3.6,M
Quercus macrocarpa,4.8,M
Robinia pseudoacacia,2.4,M
Salix amygdaloides,4.2,C
Ulmus rubra,1.8,C
Populus tremuloides,0.25,M
Picea mariana,0.3,Wl
Pinus banksiana,0.2,C
Cleome trinervia,0.2,M
Diplotaxis harra,0.25,M
Diplotxis acris,0.07,M
Erodium glaucophyllum,0.3,M
Fagonia mollis,0.15,M
Opophytum forskahlii,0.5,C
Reaumuria hirtella,0.4,M
Zygophyllum album,0.5,C
Zygophyllum coccineum,0.3,M
Quercus alba,1.1,
Quercus montana or Q. michauxii,1.1,
Pinus banksiana,2,C
Populus tremuloides,2,C
Artemisia tridentata ssp. vaseyana,1.52,M
Artemisia tridentata ssp. wyomingensis,2.13,M
Achnatherum splendens,1.7,
Agropyron desertorum,1,
Artemisia frigida,0.4,
Artemisia gracilescens,1,
Artemisia pauciflora,0.9,
Seriphidium sublessingianum,1.2,
Atriplex cana,1.4,
Caragana balchaschensis,1.15,
Ferula caspica,0.4,
Ferula soongarica,1.5,
Festuca rupicola,0.7,
Kochia prostrata,1.1,
Krascheninnikovia ceratoides,0.6,
Rheum tataricum,0.6,
Spiraea hypericifolia,1.05,
Stipa kirghisorum,1,
Stipa lessingiana,1.2,
Stipa orientalis,0.85,
Stipa sareptana,1.4,
Stipa zalesskii,0.4,
Artemisia tridentata ssp. vaseyana,1.47,M
Artemisia tridentata ssp. vaseyana,1.63,M
Artemisia tridentata ssp. vaseyana,1.65,M
Artemisia tridentata ssp. vaseyana,1.83,M
Zygophyllum dumosum,1.5,
Juglans regia,2.2,C
Ceanothus megacarpus,2.4,C
Ceanothus megacarpus,1.9,C
Ceanothus spinosus,3.1,C
Ceanothus spinosus,2.4,C
Malosma laurina,5.2,C
Malosma laurina,5.4,C
Calligonum comosum,0.75,C
Quercus agrifolia,9.1,
Quercus petraea,1,C
Quercus petraea,1,C
Quercus robur,0.6,C
Quercus robur,1.05,C
Juniperus monosperma,6.4,C
Artemisia tridentata,1.3,C
Artemisia tridentata,1.8,C
Fallugia paradoxa,1.7,C
Fallugia paradoxa,2.6,C
Fallugia paradoxa,2.9,C
Gutierrezia sarothrae,0.32,M
Pinus edulis,1.3,F
Atriplex canescens,1.85,F
Atriplex canescens,2.2,F
Bouteloua gracilis,0.38,C
Bouteloua gracilis,0.53,C
Cercocarpus montanus,0.5,C
Chenopodium fremontii,0.3,F
Chrysothamnus nauseosus,1.4,C
Chrysothamnus nauseosus,1.8,C
Chrysothamnus nauseosus,2.1,C
Gutierrezia sarothrae,0.24,M
Gutierrezia sarothrae,0.34,M
Helianthus petiolaris,0.45,F
Hymenoxys richardsonii,0.23,C
Hymenoxys richardsonii,0.25,F
Juniperus monosperma,1.7,F
Lupinus caudatus,2,C
Opuntia polyacantha,0.08,C
Opuntia polyacantha,0.1,C
Opuntia polyacantha,0.28,C
Pinus edulis,1.1,F
Pinus ponderosa,1.5,C
Pinus ponderosa,1.6,C
Quercus ×pauciloba,1.5,C
Quercus ×pauciloba,1.75,C
Quercus gambelii,3.2,C
Rhus trilobata,2.1,C
Rhus trilobata,2.3,C
Ribes cereum,0.8,C
Ribes cereum,2.9,F
Robinia neomexicana,1,C
Robinia neomexicana,1.4,C
Verbascum thapsus,0.28,C
Verbascum thapsus,0.42,C
Yucca angustissima,0.2,C
Yucca angustissima,0.2,C
Juniperus monosperma,5.79,
Acacia catechu,1.5,C
Acacia nilotica,2.3,C
Albizia lebbeck,1.5,C
Azadirachta indica,1.5,C
Dalbergia sissoo,1.25,C
Melia azedarach,0.8,C
Morus alba,0.8,C
Prosopis cineraria,2.3,C
Ziziphus mauretania,1,C
Andropogon gerardi,1.83,C
Artemisia campestris ssp. caudata,0.73,C
Asclepias arenaria,2.07,C
Bouteloua gracilis,1.4,C
Bouteloua hirsuta,0.45,C
Calamovilfa longifolia,1.16,C
Carex filifolia,0.76,C
Carex inops ssp. heliophila,0.41,C
Cirsium canescens,1.2,C
Eragrostis trichodes,0.46,C
Eriogonum annuum,1.2,C
Gaura coccinea,1.58,C
Hesperostipa comata,1.07,C
Heterotheca villosa,3.14,C
Koeleria pyramidata,0.67,C
Lathyrus polymorphus,0.83,C
Liatris punctata,1.62,C
Lithospermum caroliniense,2,C
Lithospermum incisum,1.25,C
Muhlenbergia pungens,0.9,C
Opuntia fragilis,0.18,C
Penstemon haydenii,0.76,C
Prunus pumila var. besseyi,2.44,C
Psoralidium lanceolatum,0.25,C
Redfieldia flexuosa,1.28,C
Rosa woodsii var. ultramontana,2.44,C
Senecio riddellii,1.5,C
Sporobolus cryptandrus,0.98,C
Toxicodendron radicans,3.2,C
Tradescantia occidentalis,0.51,C
Picea mariana,0.19,M
Opuntia polyacantha,0.16,M
Abolboda americana,0.3,C
Andropogon leucostachyus,0.5,M
Aristida tincta,0.4,M
Axonopus pulcher,0.25,C
Axonopus purpusii,0.43,M
Bulbostylis circinata,0.15,
Clusia fockeana,2.8,C
Curatella americana,1.5,C
Cybianthus magnoliifolius,1.8,C
Dimorphandra conjugata,0.6,C
Eriosema crinitum,0.6,C
Eriosema violaceum,0.7,C
Eugenia punicifolia,2,C
Himatanthus articulatus,3,M
Humiria balsamifera,0.6,C
Hyptis atrorubens,0.5,C
Leptocorphium lanatum,0.9,M
Licania incana,0.5,C
Marlierea montana,0.8,C
Mesosetum cayennense,0.5,M
Mesosetum loliiforme,0.4,C
Ormosia costulata,1.63,C
Panicum caricoides,0.65,M
Protium heptaphyllum,2.4,M
Retiniphyllum schomburgkii,,C
Rhynchospora barbata var. barbata,0.25,M
Rhynchospora globosa,0.9,M
Schizachyrium riedelii,0.5,C
Sipanea pratensis,0.4,M
Ternstroemia punctata,1.8,C
Tibouchina aspera,1.45,M
Trachypogon plumosus,0.8,C
Xyris suranimensis,0.3,C
Faidherbia albida,3.26,C
Fagus sylvatica,1.8,
Larix sibirica,1.8,M
Picea glauca,1.8,M
Panicum maximum,4.17,F
Panicum maximum,4.19,F
Panicum maximum,2.3,F
Panicum maximum,2.8,F
Panicum maximum,3.6,F
Panicum maximum,3.8,F
Panicum maximum,3.85,F
Panicum maximum,4,F
Panicum maximum,4.05,F
Panicum maximum,4.2,F
Panicum maximum,4.36,F
Panicum maximum,4,F
Panicum maximum,4.55,F
Panicum maximum,4.85,F
Panicum maximum,2.6,F
Panicum maximum,2.7,F
Panicum maximum,3,F
Panicum maximum,3.2,F
Panicum maximum,4.15,F
Panicum maximum,2,F
Panicum maximum,3.26,F
Panicum maximum,3,F
Panicum maximum,4.2,F
Panicum maximum,3.65,F
Panicum maximum,3.85,F
Panicum maximum,3.85,F
Panicum maximum,3.85,F
Panicum maximum,3.9,F
Panicum maximum,4.15,F
Panicum maximum,4.4,F
Panicum maximum,4.45,F
Panicum maximum,4.6,F
Panicum maximum,0.85,F
Panicum maximum,1.8,F
Panicum maximum,2.8,F
Panicum maximum,3.2,F
Panicum maximum,3.35,F
Panicum maximum,3.54,F
Panicum maximum,3.7,F
Panicum maximum,3.7,F
Panicum maximum,3.75,F
Panicum maximum,2,F
Panicum maximum,3,F
Panicum maximum,3.05,F
Panicum maximum,3.1,F
Panicum maximum,3.2,F
Panicum maximum,3.35,F
Panicum maximum,3.6,F
Panicum maximum,3.8,F
Panicum maximum,4.2,F
Panicum maximum,4.2,F
Ambrosia dumosa,1.4,C
Ephedra nevadensis,1.52,C
Grayia spinosa,0.97,C
Hymenoclea salsola,0.81,C
Krascheninnikovia lanata,0.64,C
Larrea tridentata,1.68,C
Lycium andersonii,1.83,C
Ziziphus lotus,,C
Deverra tortuosa,5,C
Chrysocoma tenuifolia,0.38,
Hertia pallens,1.5,
Jamesbrittenia albiflora,0.47,
Lithops salicola,0.07,
Nananthus vittatus,0.07,
Aristida namaquensis,0.52,C
Rhigozum trichotomum,2.16,C
Centaurea aegyptiaca,2.1,C
Convolvulus lanatus,2.5,C
Euphorbia retusa,2.3,C
Fagonia arabica,1.2,C
Farsetia aegyptia,3.3,C
Moltkiopsis ciliata,4,C
Zilla spinosa,2.8,C
Schedonnardus paniculatus,0.76,
Nassella viridula,3.35,
Andropogon gerardi,1.5,M
Bouteloua gracilis,1.68,M
Buchloe dactyloides,1.98,M
Pascopyrum smithii,1.83,M
Poa pratensis,1.22,M
Quercus macrocarpa,4.3,M
Antennaria racemosa,1.79,M
Astragalus arrectus,1.62,M
Balsamorhiza sagittata,1.9,M
Festuca idahoensis,0.6,M
Geranium vicosissimum,1.94,M
Geum triflorum var. ciliatum,1.63,M
Helianthella uniflora var. douglasii,1.36,M
Heuchera cylindrica var. glabella,1.55,M
Hieracium scouleri,2.05,M
Koeleria pyramidata,0.41,M
Lomatium dissectum var. multifidum,1.4,M
Lupinus leucophyllus,1.55,M
Lupinus ornatus,3.96,M
Poa secunda,0.2,M
Potentilla gracilis var. fastigiata,1.72,M
Pseudoroegneria spicata,1.48,M
Sidalcea oregana,1.2,M
Wyethia amplexicaulis,1.82,M
Wyethia amplexicaulis,1.82,M
Schizachyrium scoparium,1.83,
Astragalus crassicarpus,1.98,M
Brickellia eupatorioides,5.26,F
Buchloe dactyloides,1.85,M
Elytrigia repens,2.44,F
Grindelia squarrosa,1.85,F
Liatris punctata,4.88,M
Liatris punctata,4.88,M
Panicum virgatum,2.8,F
Psoralidium tenuiflorum,1.8,M
Psoralidium tenuiflorum,2.13,M
Solidago canadensis,3.35,F
Solidago canadensis,3.35,F
Sporobolus longifolius,1.02,M
Sporobolus longifolius,1.02,M
Abronia fragrans,1,C
Argemone polyanthemos,3.67,M
Artemisia filifolia,2.36,C
Artemisia frigida,1.25,M
Asclepias verticillata,1.21,M
Dalea purpurea,1.76,M
Dalea villosa,1.3,C
Eriogonum jamesii,2.21,M
Eriogonum microthecum,2.98,C
Euphorbia brachycera,2.31,M
Gutierrezia sarothrae,2.07,M
Heterotheca villosa,3.99,M
Ipomoea leptophylla,1.52,C
Ipomopsis longiflora,1.39,C
Lithospermum incisum,2.92,M
Lygodesmia juncea,1.81,M
Mirabilis linearis,1.64,M
Opuntia phaecantha var. camanchica,0.89,M
Oxytropis lambertii,2.44,M
Oxytropis lambertii,2.44,M
Packera aurea,0.94,M
Psoralidium lanceolatum,2.74,C
Ratibida columnifera,0.63,M
Redfieldia flexuosa,1.42,C
Redfieldia flexuosa,1.42,C
Tradescantia virginiana,0.53,C
Yucca glauca,2.13,M
Yucca glauca,2.13,M
Andropogon gerardi,2.74,
Amorpha canescens,5.03,M
Corylus americana,3.51,M
Corylus americana,3.51,M
Echinacea pallida,2.44,M
Echinacea pallida,2.44,M
Lespedeza capitata,2.39,M
Lespedeza capitata,2.39,M
Rhus glabra,2.29,M
Rhus glabra,2.29,M
Rosa arkansana,6.45,M
Rosa arkansana,6.45,M
Symphoricarpus albus,1.65,M
Vernonia baldwinii,3.51,M
Vernonia baldwinii,3.51,M
Vitis vulpina,4.12,M
Vitis vulpina,4.12,M
Eriogonum heracleoides,2.4,M
Artemisia campestris ssp. borealis,2.43,C
Buchloe dactyloides,2.15,M
Heterotheca villosa var. minor,2.43,C
Oenothera latifolia,2.34,C
Penstemon ambiguus,3.03,C
Aster ericoides,2.36,M
Elymus hispidus,2.47,M
Helianthus pauciflorus,2.31,M
Melilotus alba,1.5,M
Poa pratensis,1.77,F
Psoralidium tenuiflorum,2.45,M
Salvia azurea var. grandiflora,2.47,M
Solidago missouriensis,2.32,M
Spartina cynosuroides,2.64,M
Aristida oligantha,1.01,F
Aristida oligantha,1.01,F
Baptisia bracteata,2.04,
Dalea candida,1.74,
Distichlis spicata,0.61,M
Distichlis spicata,0.61,M
Helianthus pauciflorus ssp. subrhomboideus,1.28,
Oligoneuron rigidum,1.58,
Pediomelum argophyllum,1.83,
Sorghastrum nutans,1.49,
Verbena stricta,1.31,
Ceanothus herbaceus,4.42,
Glycyrrhiza lepidota,3.66,
Silphium laciniatum,4.18,
Asclepias arenaria,2.43,C
Calylophus serrulatus,1.33,C
Erigeron bellidiastrum,0.95,C
Eriogonum annuum,1.61,C
Liatris squarrosa,0.67,C
Machaeranthera pinnatifida,1.53,C
Mentzelia nuda,1.6,C
Paspalum setaceum,1.16,C
Liatris scariosa,1.16,
Andropogon gerardi,2.1,M
Carex pensylvanica,0.9,M
Elymus canadensis,0.75,M
Hesperostipa spartea,1.8,M
Koeleria pyramidata,0.5,M
Panicum virgatum,3.3,M
Poa pratensis,0.9,M
Schizachyrium scoparium,1.5,
Spartina pectinata,3.96,Wl
Sporobolus heterolepsis,1.5,M
Andropogon gerardi,3,C
Calamovilfa longifolia,3,C
Eragrostis trichodes,0.6,C
Hesperostipa comata,1.5,C
Muhlenbergia pungens,1,C
Schizachyrium scoparium,2.45,C
Aristida longiseta,1.5,M
Bouteloua curtipendula,1.7,M
Bouteloua gracilis,1.8,M
Buchloe dactyloides,1.8,M
Carex filifolia,1.5,
Muhlenbergia torreyi,1.2,M
Pascopyrum smithii,2.7,M
Pleuraphis jamesii,1.2,M
Sporobolus cryptandrus,1.2,M
Eucalyptus signata,3,C
Larix decidua,3.4,C
Baccharis pilularis ssp. consanguinea,1.38,
Abronia pogonantha,0.18,M
Abronia villosa,0.21,C
Abronia crux-maltae,0.2,C
Baccharis pilularis,3.2,C
Psychotria chagrensis,0.51,F
Psychotria chagrensis,0.51,F
Psychotria furcata,0.29,F
Psychotria furcata,0.29,F
Psychotria horizontalis,0.33,F
Psychotria horizontalis,0.33,F
Psychotria limonensis,0.92,F
Psychotria limonensis,0.92,F
Psychotria marginata,0.38,F
Psychotria marginata,0.38,F
Agropyron cristatum,0.76,M
Ambrosia psilostachya,1.37,M
Artemisia dracunculus,1.37,M
Bouteloua gracilis,0.76,M
Bromus inermis,0.76,M
Calamovilfa longifolia,0.46,M
Dalea purpurea,0.76,M
Elymus lanceolatus,0.46,M
Elymus trachycaulus ssp. trachycaulus,1.07,M
Hesperostipa comata,1.83,M
Koeleria pyramidata,0.76,M
Medicago sativa,0.76,M
Melilotus officinalis,1.37,M
Pascopyrum smithii,1.07,M
Thinopyrum ponticum,1.83,M
Acer ginnala,1.07,F
Acer negundo,1.27,F
Acer saccharinum,1.3,F
Caragana arborescens,1.68,F
Celtis occidentalis,1.35,F
Elaeagnus angustifolia,1.78,F
Fraxinus pennsylvanica,1.09,F
Juglans cinerea,0.81,F
Juglans nigra,1.57,F
Juniperus scopulorum,0.99,F
Juniperus virginiana,0.99,F
Lonicera tatarica,1.07,F
Malus baccata,2.08,F
Malus sylvestris,3.12,F
Malus sylvestris,3.12,F
Picea glauca,1.07,F
Picea pungens,1.04,F
Pinus banksiana,1.04,F
Pinus ponderosa,1.12,F
Populus deltoides ssp. monilifera,3.05,F
Prunus americana,0.86,F
Prunus virginiana,1.93,F
Quercus macrocarpa,2.51,F
Rhamnus cathartica,1.27,F
Salix alba,1.52,C
Salix alba,2.03,F
Salix alba,2.13,F
Salix alba,3.05,C
Salix alba,4.27,F
Shepherdia argentea,1.78,F
Syringia vulgaris,1.52,F
Tamarix ramosissima,2.03,F
Tilia americana,1.6,F
Ulmus americana,1.22,F
Ulmus pumila,1.27,F
Ambrosia deltoidea,0.37,C
Larrea tridentata,0.33,C
Opuntia fulgida,0.18,C
Juglans nigra,2.2,
Sequoia sempervirens,5,
Artemisia monosperma,5,C
Lygos raetam,20,C
Acacia tortilis ssp. raddiana,2.5,
Anabasis articulata,3,
Anabasis syriaca,3,
Artemisia herba-alba,0.5,C
Artemisia monosperma,3,C
Atriplex glauca,0.3,
Atriplex halimus,8,C
Bassia arabica,0.4,
Halothamnus acutifolius,1.2,
Haloxylon tamariscifolium,3,
Haloxylon salicornicum,3,
Limonium pruinosum,0.3,
Lygos raetam,20,C
Noaea mucronata,1.2,
Reaumuria hirtella var. palaestina,0.4,C
Salsola tetrandra,0.3,
Salsola villosa,1.2,
Suaeda asphaltica,0.3,
Suaeda palaestina,0.3,
Tamarix aphylla,10,C
Zygophyllum dumosum,0.3,
Astragalus longipetiolatus,1.9,C
Halothamnus subaphyllus,2.5,C
Mausolea eriocarpa,2.5,C
Salsola richteri,4,C
Yucca glauca,2.133495885,F
Artemisia spinescens,1.523925632,F
Artemisia tridentata,9.143553795,F
Chrysothamnus nauseosus,4.571776897,F
Gutierrezia microcephala,2.438281012,F
Senecio sp.,0.91435538,F
Tetraneuris acaulis,0.243828101,F
Lepidium montanum,0.304785127,F
Sisymbrium sp,0.182871076,F
Opuntia polyacantha,0.609570253,F
Symphoricarpos sp,1.828710759,F
Atriplex canescens,18.89667784,F
Atriplex confertijolia,1.523925632,F
Krascheninnikovia lanata,0.91435538,F
Sarcobatus vermiculatus,5.790917403,F
Juniperus monosperma,5.790917403,F
Shepherdia sp,15.23925632,F
Ephedra viriidis,1.005790917,F
Ephedra viriidis,5.486132277,F
Arctostaphylos sp.,5.18134715,F
Euphorbia sp,0.060957025,F
Astragalus cobrensis,1.828710759,F
Quercus gambeli,3.962206644,F
Mentzelia albicaulis,0.121914051,F
Sphaeralcea sp,2.285888449,F
Fraxinus anomala,3.047851265,F
Fraxinus velutina,6.09570253,F
Oenothera sp,1.371533069,F
Pinus ponderosa,24.38281012,F
Plantago sp.,0.152392563,F
Hesperostipa comata,1.676318196,F
Leymus condensatus,3.657421518,F
Oryzopsis hymenoides,1.523925632,F
Pleuraphis jamesii,1.828710759,F
Pleuraphis jamesii,1.523925632,F
Eriogonum sp.,1.219140506,F
Ceanothus sp,3.657421518,F
Amelanchier utahensis,6.400487656,F
Cowania stansburiana,1.523925632,F
Salix sp,3.657421518,F
Picea abies,1.395,M
Picea abies,0.46,C
Quercus robur,2.69,C
Quercus robur,1.75,C
Tilia cordata,2.79,
Quercus pubescens,1.62,
Quercus pubescens,0.5685,
Tilia cordata,1.1224,
Abies alba,1.8,M
Abies alba,2.67,C
Abies alba,0.2997,C
Abies alba,1.37,M
Picea abies,1.49,C
Picea abies,0.9881,C
Picea abies,1.53,C
Picea abies,1.13,C
Picea abies,0.57,C
Picea abies,0.46,C
Larix decidua,1.92,C
Larix decidua,3.66,C
Larix decidua,1.3189,C
Larix decidua,0.75,C
Larix decidua,0.51,C
Larix decidua,0.79,C
Pinus sylvestris,3.48,C
Pinus sylvestris,4.2118,M
Pinus sylvestris,1.91,C
Pinus sylvestris,1.81,C
Pinus sylvestris,1.72,C
Pinus sylvestris,9.76,C
Pinus sylvestris,2.23,C
Pinus sylvestris,0.94,C
Pinus sylvestris,0.59,C
Pinus mugo,0.16,C
Pinus mugo,1.92,C
Pinus cembra,0.28,C
Pinus cembra,0.19,C
Pinus cembra,0.78,C
Pinus cembra,0.8,C
